rank,grade,usernme,uploads,subscribers,top_views
2573,B ,Johnny Orlando,76,4.19M,398130347
2574,A- ,Wunderbar Studios,584,4.19M,1997897996
2575,B+ ,EugeneSagaz,1412,4.19M,1585064350
2576,B ,KathleenLights,1046,4.19M,593902575
2577,B+ ,TmarTn2,10536,4.19M,1682414564
2578,B+ ,Ameer Alabadi,192,4.19M,1139000768
2579,B+ ,Piero Start,252,4.19M,699882675
2580,B+ ,معلومة | M3loma,1259,4.18M,563055935
2581,A- ,RT Arabic,74235,4.18M,2045453315
2582,B ,ElFlacoWTF,139,4.18M,163057081
2583,A- ,AfacanTV,224,4.18M,2336829710
2584,B ,Christina Aguilera,53,4.18M,95110954
2585,A- ,Farjana Drawing Academy,565,4.18M,506733250
2586,B ,Girliyapa,136,4.18M,339783835
2587,B+ ,Folagor03,7399,4.18M,1983951988
2588,B+ ,KeiferMC,1797,4.18M,1315171811
2589,B ,Mariana Nolasco,197,4.18M,401172079
2590,B+ ,The Frringo,152,4.18M,473214110
2591, ,Movies - Topic,--,4.18M,-- 
2592,A- ,Yellow Brick Cinema - Relaxing Mus…,2314,4.18M,1555307115
2593,B+ ,هل تعلم ! Did you know,505,4.17M,875898684
2594,B+ ,AM F للكوميديا والاف…,346,4.17M,791398168
2595,B ,Toda Meiga,392,4.17M,729139120
2596,B+ ,Pyrocynical,627,4.17M,1114048585
2597,A- ,SkyrockFM,4458,4.17M,1621624280
2598,A ,asianetnews,114498,4.17M,1803931247
2599,B+ ,أحداث وحقائق,448,4.17M,502655057
2600,B ,Luis Mariz,99,4.17M,172885055
2601,A- ,MM7Games,3884,4.17M,1999522262
2602,A ,Tv9 Kannada,53057,4.17M,1634098706
2603,A- ,skysoul سكاي سول l,631,4.16M,1521367930
2604, ,Popular on YouTube - India,--,4.16M,-- 
2605,B ,DONKEY13,543,4.16M,348059507
2606,B ,Finger Family Songs,230,4.16M,2820935175
2607,B+ ,Albasheer Show - البشير شو,499,4.16M,595908570
2608,B+ ,Tim Chantarangsu,617,4.16M,818221510
2609,B ,Beleza Teen,749,4.15M,366613356
2610,B+ ,iBallisticSquid,2320,4.15M,2772368743
2611,A- ,starshipTV,1538,4.15M,2190441277
2612,B+ ,Dancefit Live,121,4.15M,674594366
2613,A- ,Zouzounia TV,1070,4.15M,3011250093
2614,A- ,Stokes Twins,105,4.15M,387346580
2615,B+ ,Clevver TeVe,6252,4.15M,1589333098
2616,A- ,CloudKid,1469,4.15M,1429799968
2617,A- ,YNW Melly,105,4.15M,1233698571
2618,B ,João Guilherme Ávila,256,4.15M,229423932
2619,D- ,HooplaKidz - Official Nursery Rhym…,625,4.15M,1884146435
2620,B+ ,How To Cook That,434,4.15M,677207491
2621,B+ ,Family Playlab,301,4.14M,2768450911
2622,B+ ,TopMax,189,4.13M,774890767
2623,A- ,LUCA,2913,4.13M,2122703565
2624,B+ ,Almanaque x,576,4.13M,451279879
2625,A ,MD Entertainment,9691,4.13M,1828353699
2626,A- ,TellyMasala,16801,4.13M,1709379211
2627,B+ ,Trakin Tech,1735,4.13M,377006811
2628,A ,OnePlus India,225,4.13M,1186212847
2629,A- ,Arabian Fairy Tales,274,4.13M,1311209185
2630,B+ ,christianvib,1256,4.13M,663601528
2631,B- ,French Montana,41,4.13M,15194850
2632,B ,Mahendras : Online Videos For Govt…,12823,4.13M,511198634
2633,A- ,St3pNy,5008,4.13M,2177603658
2634,B+ ,Юрий Хованский,990,4.12M,949536117
2635,A- ,T-Series Telugu,3815,4.12M,2420478197
2636,A- ,Funny Vines,626,4.12M,1350804936
2637,B ,Zangado,1271,4.12M,529336049
2638,B ,AmazingPhil,285,4.12M,616972609
2639,A- ,DOODLAND,396,4.12M,1213845566
2640,A- ,SLIME SAM SAPECA,332,4.12M,823365627
2641,B ,ЛИТВИН,86,4.12M,237504162
2642,B+ ,Angry Prash,117,4.12M,482504306
2643,B ,Ayurved Samadhan,2712,4.11M,391097973
2644,B+ ,Final Level,617,4.11M,443357669
2645,B+ ,Maha Cartoon TV XD,257,4.11M,988050386
2646,B+ ,Lucas Castel :D,366,4.11M,444987783
2647,B+ ,NOVRITSCH,389,4.11M,660848980
2648, ,Marcus Butler,--,4.11M,-- 
2649,B ,Brian Sobrevilla,255,4.11M,358742720
2650,B+ ,JianHao Tan,286,4.11M,1078198610
2651,A ,VnChilds - Nhạc thiếu nhi,126,4.1M,1233886348
2652,A- ,Riki MUSIC,205,4.1M,1236613662
2653,A ,Peppa Pig Hindi,266,4.1M,1630563665
2654,B ,Jeamileth Doll,1142,4.1M,384992680
2655,B ,Noriel,90,4.1M,531590213
2656,A ,Enterr10 Music Bhojpuri,698,4.1M,1758707671
2657,A ,Nick Jr. Россия,694,4.1M,2713604355
2658,A- ,Sai Recordds Digital,3176,4.1M,1663429316
2659,B ,Escorpión Dorado el Chido,264,4.1M,377239322
2660,B+ ,Crown Records,152,4.1M,1074876011
2661,B+ ,Little Lizard Adventures,3011,4.1M,2553411720
2662,B+ ,Let's Crack UPSC CSE,9633,4.1M,336367927
2663,A ,TroomTroom India,887,4.1M,1584620102
2664,B+ ,10ocupados,379,4.09M,520659052
2665,B ,ActorVarunPruthi,171,4.09M,541625664
2666,A- ,Gulzaar Chhaniwala,28,4.09M,630908774
2667,B+ ,PR Bollywood,1721,4.09M,854361009
2668,B+ ,Mobile MOBA Việt,3739,4.09M,1771773042
2669,A ,SoSorry,849,4.09M,1386255952
2670,A- ,Fausto Murillo,1000,4.09M,480067712
2671,A- ,Red Arcade,473,4.08M,1332607575
2672,B+ ,MindofRez,804,4.08M,865458012
2673,B+ ,Lukas Graham,68,4.08M,1637713542
2674,A- ,LaurenzSide,1505,4.08M,1342639003
2675,A ,NOW UNITED,331,4.08M,689460496
2676,A- ,THVL Giải Trí,21096,4.08M,3526026929
2677,A ,Funny Family Games tv,836,4.07M,4573575291
2678,A- ,DADJU,85,4.07M,1280019381
2679,B+ ,M3RKMUS1C,1836,4.07M,1911025114
2680,A- ,RickyMartinVEVO,280,4.07M,5061927452
2681,D- ,Herşey Dahil,1573,4.07M,1803386459
2682,A- ,HaAshVEVO,156,4.07M,5175920481
2683,B+ ,Joe HaTTab,412,4.07M,412352758
2684,A ,123 GO! Arabic,95,4.07M,1328996289
2685,A- ,RotonMusicTV,1457,4.07M,3921467594
2686,B ,Salud y Algo Más,86,4.06M,76867826
2687,A- ,Danny Duncan,328,4.06M,744237747
2688,B+ ,JalanTikus,1686,4.06M,555413046
2689,B+ ,The Food Ranger,290,4.06M,581497976
2690,A- ,EugenBro,966,4.06M,1285816074
2691,B+ ,Daniel Gro,100,4.06M,772484188
2692,B- ,Black M,9,4.06M,1202610
2693,B+ ,Cocinemosjuntos.com,1330,4.06M,597013458
2694,A- ,OWN,16427,4.05M,2073626749
2695,B+ ,Silo Entertainment,330,4.05M,522888849
2696,A- ,musisi jogja project,842,4.05M,607793035
2697,B ,Rohit Khatri Fitness,476,4.05M,232206055
2698,B ,Río Roma,123,4.05M,219905255
2699,A- ,Truyen Hinh Vinh Long,15238,4.05M,3182033854
2700,B+ ,Hoga Toga,1839,4.04M,240672223
2701,B+ ,Memeulous,448,4.04M,914447369
2702,A- ,Talking Tom Heroes,183,4.04M,1398172902
2703,A- ,xBuyer,931,4.04M,862846602
2704,A- ,ETV Plus India,23190,4.04M,2850050034
2705,B+ ,Funny Vines,226,4.04M,1127256468
2706,B+ ,TRẤN THÀNH TOWN,338,4.04M,755649810
2707,B+ ,oblomoff,1119,4.04M,1228829590
2708,B+ ,7-Second Riddles,2794,4.04M,1145942918
2709,A- ,Lagu Anak Indonesia Balita,255,4.03M,1638692025
2710,B+ ,Asubio Kids,1133,4.03M,891193569
2711,B+ ,Creative Channel,651,4.03M,686856333
2712,B+ ,Kyler and Mad,558,4.03M,743948588
2713,B+ ,GIOH,379,4.03M,341952579
2714,B ,Alonzo Lerone,421,4.03M,472101433
2715,A- ,Totally TV,823,4.03M,1403149792
2716,A- ,Jesus Adrian Romero,95,4.03M,1659676239
2717,B ,Así O Más Fácil,193,4.03M,270537891
2718,B+ ,Domingo Espetacular,3812,4.02M,1024487140
2719,B ,Fran Bel e Nina,692,4.02M,835104636
2720,A- ,Holdik,1999,4.02M,501277818
2721,A- ,Telefe,72984,4.02M,3183363713
2722,A ,MALOUCOS,414,4.02M,1037191153
2723,B ,Rahatlatıcı Videolar,393,4.02M,120381541
2724,A ,TRT Çocuk,3771,4.02M,2726772184
2725,A- ,タキロン Takilong Kids' Toys,1826,4.02M,2000447095
2726,A- ,tlc uk,1878,4.02M,2524557010
2727,B+ ,SULE Channel,1420,4.02M,450072420
2728,A- ,Виндяй,666,4.02M,948596836
2729,A ,Dalex,113,4.02M,1570147033
2730,A- ,cuisine Halima Filali شهيوات…,787,4.02M,588937913
2731,B+ ,Gabriel Iglesias,213,4.02M,591263079
2732,D- ,Budha Subba Digital,8748,4.01M,1577760005
2733,B+ ,Discovery,7986,4.01M,1852459752
2734,B+ ,Talk Shows Central,72994,4.01M,1057677272
2735,B+ ,Julienco,476,4.01M,1273754533
2736,A ,Компот,1050,4.01M,1460847712
2737,B+ ,Mr. Kate,573,4.01M,394509884
2738,C+ ,Kids Labo TV,13,4.01M,211139
2739,B+ ,Berkcan Güven,211,4.01M,672240571
2740,B+ ,clips mix,3010,4.01M,2418054809
2741,B+ ,Декстер,192,4.01M,322737756
2742,B+ ,johnlegendVEVO,152,4.01M,2590318392
2743,B+ ,julioprofe,1257,4.01M,551406531
2744,B+ ,Castro Brothers,938,4.01M,568444831
2745,B ,Mon Laferte,94,4.01M,61600731
2746,A ,Уральские Пельмени,683,4.01M,1164196502
2747,A- ,LowGrade,1125,4.01M,919637796
2748,B ,DTS Musika Studio,69,4M,271474189
2749,B ,Killadamente,94,4M,143976840
2750,A- ,보겸 BK,8698,4M,2220476112
2751,A- ,ElAlfaElJefeTV,91,4M,1333777899
2752,B ,Marco Antonio Solís,258,4M,130171102
2753,A ,PostMaloneVEVO,31,4M,5052285101
2754,A- ,Quantum Games,2691,4M,1571746298
2755,A ,DaBaby,117,3.99M,1321302226
2756,C+ ,Sofia Kids TV,3,3.99M,64433
2757,B+ ,DaddyYankeeVEVO,41,3.99M,2863778465
2758,B ,Dilsinho Oficial,18,3.99M,15601696
2759,A ,LTT Nerf War,838,3.99M,1944199190
2760,B+ ,MOMENTO DA CRIANÇA : CHILD'S MOME…,1169,3.99M,993630941
2761,B+ ,Black Gryph0n,212,3.99M,408211799
2762,B ,Dagi Bee,548,3.99M,994377651
2763,B+ ,Dream Stories TV,59,3.99M,951108057
2764,B+ ,DanOMG,155,3.99M,412442327
2765,B ,zeldaxlove64 Christina Grimmie,260,3.99M,617316450
2766,B+ ,McJuggerNuggets,1797,3.98M,1846410829
2767,B+ ,viniccius13,504,3.98M,538548094
2768,B+ ,MaitreGimsVEVO,85,3.98M,3075217371
2769,A- ,Anupam Movie Songs,1724,3.98M,1891316553
2770,B ,CelineDion,57,3.97M,12767628
2771,B+ ,20th Century Studios,2172,3.97M,2233545169
2772,A- ,MattyBVlogs,493,3.97M,1322882433
2773,B+ ,Meek Mill,150,3.97M,2084950551
2774,B ,Pablo Cimadevila,37,3.97M,251344296
2775,A- ,Shawar,276,3.97M,751449162
2776,B ,Que diabos?,208,3.97M,281522961
2777,B ,Abraham Mateo,96,3.97M,101633046
2778,A- ,Brat TV,540,3.97M,1078372477
2779,B+ ,Inemafoo,4803,3.97M,863818630
2780,B ,Tech Series,653,3.97M,124576842
2781,A- ,HiHo Kids,810,3.97M,1852969022
2782,B+ ,Radhe Creation,84,3.97M,292935626
2783,B+ ,La Diversion de Martina,317,3.96M,895861552
2784,A- ,KidsMeSong [เพลงเด็�…,368,3.96M,1754977158
2785,A ,infobells - Kannada,249,3.96M,1696212167
2786,A- ,Телеканал ТНТ,6998,3.96M,1909287846
2787,B+ ,Trey Songz,271,3.96M,1969512952
2788,B+ ,Twin Toys,401,3.96M,1569902183
2789,A- ,Triggered Insaan,191,3.96M,522109951
2790,B+ ,Alemán,132,3.96M,844196237
2791,B ,Space Videos,1267,3.96M,273872829
2792,B ,Tipsy Bartender,2271,3.96M,630468820
2793,C+ ,Funny Bunny - детские пе�…,20,3.95M,236774
2794,A ,BlackEyedPeasVEVO,71,3.95M,5476851913
2795,B+ ,jurnalrisa,132,3.95M,386820779
2796,B+ ,reZigiusz,1114,3.95M,865107829
2797,A- ,Rovi23,4581,3.95M,1400239234
2798,A- ,Diana Show PRT,157,3.95M,853229738
2799,A- ,djvlad,16396,3.95M,2892142060
2800,B+ ,IndiaGlitz Tamil Movies | Intervie…,16107,3.95M,2077934207
2801,A- ,NPR Music,1751,3.95M,1006620571
2802,B ,TheGamingLemon,689,3.95M,678638219
2803,A- ,Oyuncu Yusuf,762,3.95M,1737314647
2804,A- ,Tamil cinema,5406,3.94M,1719974913
2805,A- ,떵개떵,3900,3.94M,2009937878
2806,B+ ,SSC MAKER,1460,3.94M,218772057
2807,A- ,صالح - oPiiLz,1044,3.94M,797228215
2808,B ,Learn English with EnglishClass101…,1168,3.94M,162073130
2809,B+ ,CILIO,683,3.94M,624780675
2810,A- ,Latina.pe,41213,3.94M,2604343443
2811,A- ,Ferrugem Oficial,152,3.94M,1480199623
2812,B ,Exploring With Josh,632,3.94M,427377951
2813,B ,Paula Stephânia,277,3.94M,346538555
2814,B+ ,Mr DegrEE,350,3.94M,1289058796
2815,A- ,Boram Tube Funny,197,3.94M,1109962663
2816,B ,Huda Beauty,191,3.94M,170103692
2817,A- ,Liên Quân Mobile eSports - Garena,3584,3.94M,1143870836
2818,B- ,KidsAlison Show,7,3.94M,256824185
2819,A- ,Siamand & Shahad,99,3.93M,342630864
2820,B+ ,Baby Doll Kids,434,3.93M,487883773
2821,B+ ,Pixl Networks,81,3.93M,1533867144
2822,B+ ,The Living Tombstone,200,3.93M,1180335607
2823,A ,Juguetes y Colores,144,3.93M,1165933919
2824,A- ,ヒカル（Hikaru）,1378,3.93M,2667072153
2825,B+ ,BaBYBo,21,3.93M,1001382765
2826,B+ ,Bob Ross,579,3.93M,342269716
2827,A ,TopMovieClips,251,3.93M,2402562648
2828,C+ ,¿Hasta Donde Puedo Llegar?,4,3.93M,16660
2829,A- ,Shemaroo Kids,1586,3.93M,1733206487
2830,B ,whatever,174,3.93M,887590462
2831,B ,ThreadBanger,968,3.92M,1180762375
2832,B ,Greeicy,12,3.92M,594221454
2833,B ,Inutilismo,333,3.92M,378319280
2834,B+ ,Luara Fonseca,291,3.92M,225281433
2835,A- ,DonOmarVEVO,48,3.92M,4188443937
2836,B ,mateiformiga,1102,3.92M,642276009
2837,A- ,packattack04082,7577,3.92M,5020675218
2838,B+ ,The Icing Artist,289,3.92M,920115676
2839,B+ ,JABBAWOCKEEZ OFFICIAL,167,3.92M,420404957
2840,B+ ,TMZ,32311,3.92M,3467467623
2841,A- ,WOW ENGLISH TV,353,3.92M,3212972800
2842,B+ ,English with Lucy,223,3.92M,139018053
2843,A- ,Mimi Land,105,3.91M,639306950
2844,A- ,ACTUALLY HAPPENED,580,3.91M,1514562371
2845,B+ ,Duki,42,3.91M,932234786
2846,B+ ,NightcoreReality,316,3.91M,2711894283
2847,A- ,MooseCraft,1959,3.91M,914877580
2848,A- ,Meera Stars,303,3.91M,816964383
2849,B+ ,Bazylland Kids - Tractors & Excava…,490,3.91M,1802848084
2850,A ,HobbyFamilyTV,3201,3.91M,6947938096
2851,A- ,Trend Spot,138,3.91M,305404034
2852,B+ ,Laura Brito,636,3.91M,305772153
2853,A- ,Mrwhosetheboss,1274,3.91M,647303457
2854,B ,Pac Pac Gaming,10,3.91M,1030594
2855,B ,Vsauce3,186,3.91M,452195374
2856,D- ,Playground for kids,105,3.9M,703511874
2857,A- ,Aya Nakamura,18,3.9M,1301394435
2858,B ,Crazy GkTrick,278,3.9M,273246392
2859,B+ ,Apni Bhakti,42,3.9M,97156454
2860,B+ ,Fahad Sal,308,3.9M,322730503
2861,A- ,Little Big Toys,166,3.9M,1455183099
2862,A- ,Pyaar Lafzon Mein Kahan,817,3.9M,1542460446
2863,B+ ,Urban Roosters,1626,3.9M,656660927
2864,A ,Talking Tom and Friends Brasil,425,3.9M,1144120344
2865,A- ,Данкар,561,3.9M,514715904
2866,B ,EA SPORTS FIFA,769,3.9M,726401470
2867,B+ ,FastGoodCuisine,1038,3.9M,628423121
2868,B+ ,Good Mythical MORE,1374,3.9M,902643742
2869,A- ,Angry Birds,2015,3.9M,4756369390
2870,B+ ,Ariann Music,250,3.89M,567040614
2871,B ,beIN SPORTS,1601,3.89M,266302553
2872,A ,TraLaLa - Cantece si desene animat…,1544,3.89M,4320539085
2873,A ,My Pony,602,3.89M,1396346118
2874,B+ ,Nicole Tv,146,3.89M,195340116
2875,B ,Evan Kids,89,3.89M,956815701
2876,B+ ,برنامج هي وبس,3449,3.89M,486069268
2877, ,Dr. Dre,--,3.89M,-- 
2878,C+ ,Color For Baby,112,3.89M,2114227
2879,A- ,AS Mobile,2113,3.89M,1125061542
2880,A- ,AboFlah,335,3.89M,544167767
2881,B ,Wrzzer,196,3.89M,816766827
2882,B+ ,HISTORIAS CON RUTH,789,3.89M,1604697295
2883,B+ ,Bhojpuri Junction,402,3.88M,535267121
2884,A- ,The Voice India Kids,550,3.88M,1514584649
2885,A- ,HighlightsNepal,8759,3.88M,1887948073
2886,B ,Alissa Violet,59,3.88M,237986139
2887,B+ ,Chris Ramsay,583,3.88M,520164984
2888,B+ ,Angle Music Official Channel,12098,3.88M,1429092036
2889,B+ ,[Dorothy]도로시,803,3.88M,849252369
2890,A- ,Falaidearo,146,3.88M,825102919
2891,B+ ,fedfeclip,504,3.88M,889066921
2892,A ,Boomerang UK,1742,3.88M,2471419098
2893,C+ ,Juan Gabriel,2,3.88M,188993
2894,B ,Walk off the Earth,227,3.88M,894691100
2895,B+ ,williamVEVO,51,3.88M,2209146740
2896,A- ,LetDa Hyper,378,3.87M,257713070
2897,B ,دروس أونلاين,384,3.87M,161932726
2898,B ,Fidi Wstafidi l فيدي و است…,504,3.87M,435212247
2899,B+ ,Jazz and Tae,767,3.87M,561126048
2900,B ,Annie LeBlanc,288,3.87M,473716804
2901,D- ,The Urdu Teacher,922,3.87M,286758284
2902,B ,Leo Osuna,41,3.87M,76925295
2903,B- ,Jack Harries,83,3.87M,172972444
2904,A- ,Formula,953,3.87M,436194662
2905,B+ ,백종원의 요리비책 Paik's C…,176,3.87M,225165472
2906,A ,Rasmey Hang Meas,3284,3.86M,2619492819
2907,B ,NiinaSecrets,1579,3.86M,412330372
2908,B+ ,Iliass TiiwTiiw,31,3.86M,1058570701
2909,A- ,UrbanoVideosTV,465,3.86M,1028778078
2910,B+ ,ماوكلي,107,3.86M,682401814
2911,B+ ,Viacom18 Studios,1241,3.86M,927521927
2912,B- ,YG,9,3.86M,12149502
2913,B ,Igão Underground,180,3.86M,230598974
2914,A- ,Febatista,4721,3.86M,951744559
2915,B+ ,LetsPlay,2908,3.86M,2367357544
2916,A- ,Madonna,301,3.86M,2277832620
2917,A- ,Warner Records,1029,3.86M,2178122627
2918,B+ ,Upchar Nuskhe,3083,3.85M,419755852
2919,A- ,Amr Diab,156,3.85M,915470224
2920,B+ ,HeyKids.es - Canciones Para Niños,101,3.85M,910981878
2921,A- ,Ozzy Man Reviews,520,3.85M,1205941416
2922,B+ ,ProjVEVO,53,3.85M,1621073034
2923,B ,Hailee Steinfeld,12,3.85M,19132711
2924,A- ,Jauja Cocina Mexicana,546,3.85M,520558281
2925,B- ,Kandee Johnson,631,3.85M,453935901
2926,A- ,영국남자 Korean Englishman,396,3.85M,1091833350
2927,B+ ,RT,49314,3.85M,3026517830
2928,B ,The Vamps,314,3.85M,174018766
2929,B+ ,ZEDDVEVO,54,3.85M,2113064975
2930,A- ,AlNaharDrama,5376,3.84M,2141942503
2931,B+ ,Room Factory,382,3.84M,1248391700
2932,A- ,carwow,1206,3.84M,1102780458
2933,A- ,Single Track Studio,1637,3.84M,1521616570
2934,B+ ,Zane Hijazi,263,3.84M,594732078
2935,A- ,TWO SUPER SISTERS,441,3.84M,1388332155
2936,A- ,Galinha Pintadinha Mini,116,3.84M,1165457525
2937,B ,Kids Club TV & Nursery Rhymes Songs,61,3.84M,597861984
2938,B+ ,Jordi ENP,133,3.84M,334058786
2939,A ,NTV Telugu,167591,3.83M,2614991662
2940,A- ,SeikinTV,1708,3.83M,3245410664
2941,A- ,Disney FR,2605,3.83M,2948937264
2942,B+ ,Bruno e Marrone,64,3.83M,325516700
2943,B+ ,Jalals,49,3.83M,201139885
2944,A- ,Bhavani HD Movies,20159,3.83M,1699957316
2945,B+ ,Glam&Gore,245,3.83M,450048576
2946,B ,RED21,1077,3.83M,823919985
2947,B ,smotraTV,423,3.83M,692299240
2948,A- ,Spacetoon,2005,3.83M,1400617070
2949,B ,Настя Ивлеева,65,3.83M,255480343
2950,A- ,UNIVERSAL MUSIC JAPAN,6509,3.83M,2633148773
2951,B+ ,Esha Mehra Hacks & Tips,425,3.82M,258665092
2952,A- ,Dead Meat,456,3.82M,1140192322
2953,B+ ,BasSTOP,847,3.82M,564198591
2954,B+ ,Thariq Halilintar,86,3.82M,159630276
2955,A- ,GEazyMusicVEVO,139,3.82M,3356199582
2956,B ,Moral Stories TV,52,3.82M,204882967
2957,A- ,Na CorreRia,510,3.82M,1479964661
2958,B+ ,ShuffleGamer,392,3.82M,222164180
2959,B+ ,Alok,148,3.82M,435314724
2960,A ,뽀로로(Pororo),3125,3.82M,4860756750
2961,B+ ,Cadê a chave?,1472,3.82M,781448000
2962,A- ,أوسمز oCMz,1978,3.82M,812322342
2963,B+ ,KREOSAN,266,3.82M,644942791
2964,B ,Mauricio Meirelles,922,3.82M,594687967
2965,A- ,Max and Katy,225,3.82M,858048861
2966,A- ,Zee Kannada,55467,3.82M,2227559881
2967,B ,D&B Nation,168,3.81M,251158485
2968,A- ,National Dastak,19662,3.81M,980669182
2969, ,Cats - Topic,--,3.81M,-- 
2970,B ,Gerardo Ortiz,125,3.81M,189356640
2971,B+ ,charli d'amelio,7,3.81M,46998658
2972,A- ,Karol Friz Wiśniewski,518,3.81M,1235334332
2973,B+ ,Salomundo,167,3.81M,359924336
2974,B+ ,Pikachu/بيكاتشو,313,3.81M,343173582
2975,A ,SBS Drama,338347,3.8M,3616466926
2976,A- ,MarkRonsonVEVO,109,3.8M,4391847547
2977,B+ ,SorDor Style,433,3.8M,793482310
2978,A ,Viralbollywood,26703,3.8M,1747456129
2979,B+ ,Aymane Serhani,27,3.8M,896176765
2980,B ,kesha,100,3.8M,190047418
2981,A ,Synergy تامر مرسي,5602,3.8M,2987019616
2982,A ,BIBI TV,829,3.8M,3682896622
2983,C+ ,Tu Tu Too - Kids Songs & Nursery R…,51,3.79M,704139
2984,B+ ,Million Roses,436,3.79M,383775091
2985,B ,GetsetflySCIENCE,235,3.79M,336467476
2986,A- ,5SOSVEVO,81,3.79M,1560917540
2987,B+ ,Red FM India,4616,3.79M,583503690
2988,A- ,BuzzFeed Unsolved Network,172,3.79M,362025999
2989,B+ ,Munchies,1114,3.79M,878489093
2990,A- ,Corridor Crew,785,3.79M,614703332
2991,B ,Best Trends,219,3.79M,407364143
2992,A- ,Sumeet Music,1994,3.79M,2222770621
2993,B ,TBJZL,858,3.79M,420878315
2994,A- ,Happy Channel,2304,3.79M,1684425468
2995,A- ,WamIndia Movie Talkies,175,3.79M,944664352
2996,A ,Vlad y Nikita,181,3.79M,928692099
2997,B+ ,متع ذهنك,500,3.79M,375783868
2998,B- ,Mario Ruiz,114,3.79M,144191396
2999,A- ,5-MINUTE MAGIC,1473,3.79M,753223094
3000,A- ,What If,335,3.79M,358517455
3001,B+ ,แจ๊ส สปุ๊กนิ…,197,3.79M,727424776
3002,B+ ,워크맨-Workman,56,3.79M,371638199
3003,A- ,True Crime Daily,3989,3.78M,2085228887
3004,B ,Charisma on Command,274,3.78M,311712180
3005,A- ,Action Movies Digiplex,152,3.78M,896772272
3006,A- ,Logdotzip,2988,3.78M,1094933449
3007,B+ ,SovietWomble,170,3.78M,875426756
3008,B ,Life of Sammie & Summer,61,3.78M,144989153
3009,B+ ,JustDustin,189,3.78M,453840078
3010,A- ,ELLO,8400,3.78M,4082463665
3011,B ,Wayne Goss,1447,3.78M,504862880
3012,B+ ,Frog Leap Studios,801,3.78M,919092354
3013,A- ,mrfreshasian,439,3.78M,586551461
3014,B+ ,Vincent Raditya,454,3.78M,281112965
3015,B ,Toy For Kids [토이포키즈],34,3.77M,849128905
3016,B+ ,Alhayah Series TV,5499,3.77M,1941073843
3017,A- ,SimoneSimariaVEVO,46,3.77M,2037386499
3018,B+ ,Danny Ocean,26,3.77M,2247376146
3019,B ,ApeCrime,702,3.77M,1110322819
3020,B+ ,Craftronix,278,3.77M,1115155632
3021,A- ,FESTIVALDEVINACHILE,8597,3.77M,2097577238
3022,B+ ,Vicky Patel Dance,247,3.76M,329287570
3023,A- ,Lunay,16,3.76M,1222202110
3024,B ,Criss Huera,68,3.76M,276232015
3025,B ,DILLERON ★ Play,1837,3.76M,1695386739
3026,B+ ,Kch Multimedia Naat,4217,3.76M,939728763
3027,B+ ,bill wurtz,417,3.76M,403315349
3028,B+ ,ElSmosh,511,3.76M,946851326
3029,B+ ,WOA LuKa Channel,562,3.76M,1071197159
3030,B+ ,Миллион Сюрпризов,315,3.76M,1095187859
3031,A- ,ام سيف Om sayf,149,3.76M,559887727
3032,A ,Didi & Friends - Lagu Kanak Kanak,607,3.76M,2739539573
3033,B+ ,Coreano Vlogs,426,3.76M,368815986
3034,B ,GREAT IDEAS GREAT LIFE,168,3.76M,173849748
3035,B ,HALILINTAR LENGGOGENI,467,3.75M,236891791
3036,A ,Mundo Bita,81,3.75M,2782202213
3037,B ,Loren Gray,36,3.75M,63305221
3038,B+ ,Русский Мясник,157,3.75M,481307083
3039,B ,TXT Official,1608,3.75M,1383490154
3040,B+ ,Natasha Wilona,342,3.75M,266573243
3041,B ,SidTalk,236,3.75M,205746893
3042,B+ ,OfficialGucciMane,241,3.75M,1853756628
3043,B ,Alfie Deyes Vlogs,1459,3.75M,1028138397
3044,A- ,redimi2oficial,278,3.75M,1201873873
3045,B ,Michelle Almendra,549,3.75M,194991623
3046,A- ,BUFF Academy,258,3.75M,297338076
3047,B+ ,Ireland Boys Productions,196,3.75M,575275880
3048,B+ ,Ciclone Funk,264,3.75M,528733537
3049,D- ,Mamix EveryYear,198,3.74M,513518614
3050,B+ ,Menino Prendado,682,3.74M,257817617
3051,B+ ,NEXT EXAM,1178,3.74M,306036195
3052,A- ,The DDG Family,940,3.74M,518265238
3053,B+ ,Dread Mar I - Oficial,103,3.74M,694712287
3054,A ,Mều Channel,420,3.74M,1583077150
3055,A ,Nickelodeon UK,1982,3.74M,3244211680
3056,B ,Spooki | سبوكي,766,3.74M,461471450
3057,B+ ,superholly,226,3.74M,174199164
3058,A- ,WillNE,260,3.74M,519145792
3059,B+ ,The Top Comics,658,3.74M,764010030
3060,B+ ,Star Sports,10508,3.74M,1194349982
3061,B+ ,funnyplox,231,3.74M,1871372652
3062, ,Country Music - Topic,--,3.74M,-- 
3063,B ,La Fênix,482,3.74M,211193916
3064,D- ,Rapid Mind,227,3.74M,277043738
3065,B+ ,ShaneGlossin,6,3.73M,57421910
3066,B+ ,Hasbro,4726,3.73M,1902126277
3067,B+ ,JSL Global Media,8833,3.73M,1688238254
3068,A- ,Kids Tv Português - Canções dos…,957,3.73M,1287050421
3069,A ,123 GO! Portuguese,92,3.73M,885507076
3070,A- ,Bà Tân Vlog,188,3.73M,570841833
3071,A- ,Saud Brothers,102,3.73M,470429382
3072,B ,Candy,228,3.73M,2353496937
3073,B+ ,The Tube Family,469,3.73M,2322158540
